14 May 2022 - 21 May 2022
Date/time;500KVApCIDETpFIME_20220521_163645_5m_STD.P.F. III;500KVApCIDETpFIME_20220521_163645_5m_STD.Minimum P.F. III;500KVApCIDETpFIME_20220521_163645_5m_STD.Maximum P.F. III
5/14/22 3:45:00 PM;0.96;0.96;0.97
5/14/22 3:50:00 PM;0.96;0.96;0.98
5/14/22 3:55:00 PM;0.98;0.97;0.98
5/14/22 4:00:00 PM;0.97;0.96;0.98
5/14/22 4:05:00 PM;0.96;0.96;0.97
5/14/22 4:10:00 PM;0.96;0.95;0.96
5/14/22 4:15:00 PM;0.95;0.95;0.96
5/14/22 4:20:00 PM;0.96;0.95;0.97
5/14/22 4:25:00 PM;0.96;0.96;0.97
5/14/22 4:30:00 PM;0.96;0.96;0.96
5/14/22 4:35:00 PM;0.96;0.96;0.96
5/14/22 4:40:00 PM;0.96;0.96;0.98
5/14/22 4:45:00 PM;0.98;0.97;0.98
5/14/22 4:50:00 PM;0.96;0.96;0.98
5/14/22 4:55:00 PM;0.96;0.96;0.96
5/14/22 5:00:00 PM;0.96;0.96;0.96
5/14/22 5:05:00 PM;0.96;0.96;0.98
5/14/22 5:10:00 PM;0.96;0.96;0.97
5/14/22 5:15:00 PM;0.96;0.96;0.96
5/14/22 5:20:00 PM;0.96;0.96;0.98
5/14/22 5:25:00 PM;0.98;0.97;0.98
5/14/22 5:30:00 PM;0.97;0.97;0.98
5/14/22 5:35:00 PM;0.98;0.97;0.98
5/14/22 5:40:00 PM;0.98;0.98;0.98
5/14/22 5:45:00 PM;0.98;-0.97;0.98
5/14/22 5:50:00 PM;0.98;0.98;0.98
5/14/22 5:55:00 PM;0.97;0.97;0.98
5/14/22 6:00:00 PM;0.97;0.97;0.98
5/14/22 6:05:00 PM;0.97;0.97;0.97
5/14/22 6:10:00 PM;0.97;0.97;0.98
5/14/22 6:15:00 PM;0.98;-0.97;0.98
5/14/22 6:20:00 PM;0.97;-0.97;0.98
5/14/22 6:25:00 PM;0.98;0.97;0.98
5/14/22 6:30:00 PM;0.97;0.97;0.98
5/14/22 6:35:00 PM;0.98;0.98;0.98
5/14/22 6:40:00 PM;0.97;0.96;0.98
5/14/22 6:45:00 PM;0.97;0.97;0.97
5/14/22 6:50:00 PM;0.97;0.97;0.97
5/14/22 6:55:00 PM;0.97;0.97;0.98
5/14/22 7:00:00 PM;0.97;0.97;0.98
5/14/22 7:05:00 PM;0.97;0.96;0.97
5/14/22 7:10:00 PM;0.97;0.97;0.97
5/14/22 7:15:00 PM;0.97;0.97;0.98
5/14/22 7:20:00 PM;0.98;-0.96;0.98
5/14/22 7:25:00 PM;0.97;0.97;0.98
5/14/22 7:30:00 PM;0.97;0.97;0.98
5/14/22 7:35:00 PM;0.97;0.97;0.98
5/14/22 7:40:00 PM;0.98;0.97;0.98
5/14/22 7:45:00 PM;0.98;-0.97;0.98
5/14/22 7:50:00 PM;0.97;0.97;0.98
5/14/22 7:55:00 PM;0.97;0.97;0.97
5/14/22 8:00:00 PM;0.97;0.97;0.97
5/14/22 8:05:00 PM;0.97;0.97;0.98
5/14/22 8:10:00 PM;0.97;0.97;0.98
5/14/22 8:15:00 PM;0.98;0.97;0.98
5/14/22 8:20:00 PM;0.98;0.98;0.98
5/14/22 8:25:00 PM;0.98;0.98;0.98
5/14/22 8:30:00 PM;0.98;0.98;0.98
5/14/22 8:35:00 PM;0.98;0.97;0.98
5/14/22 8:40:00 PM;0.97;0.97;0.98
5/14/22 8:45:00 PM;0.97;0.97;0.98
5/14/22 8:50:00 PM;0.97;0.97;0.97
5/14/22 8:55:00 PM;0.97;0.97;0.98
5/14/22 9:00:00 PM;0.97;0.97;0.98
